pid,size,color,brand,rrp,mainCategory,category,subCategory,stock,releaseDate,zae,newSize,age
13524,6 ( 47-50 ),schwarz,Jako,6.28,1,7,11,1,2017-10-01,1,2XL,
14081,6 ( 47-50 ),schwarz,Jako,8.82,1,7,11,3,2017-10-01,1,2XL,
13922,47/49,grau,PUMA,10.09,9,10,11,3,2017-10-01,1,2XL,
15780,47/49,schwarz,PUMA,10.09,9,10,11,2,2017-10-01,1,2XL,
21226,47/49,weiss,PUMA,10.09,9,10,11,1,2017-10-01,1,2XL,
10230,5 ( 47-49 ),weiss,PUMA,10.09,1,7,13,1,2017-10-01,1,2XL,
11034,5 ( 47-49 ),schwarz,PUMA,10.09,1,7,13,4,2017-10-01,1,2XL,
11756,5 ( 47-49 ),blau,PUMA,10.09,1,7,13,1,2017-11-20,1,2XL,
14464,5 ( 47-49 ),gruen,PUMA,10.09,1,7,13,3,2017-10-01,1,2XL,
14623,5 ( 47-49 ),schwarz,PUMA,10.09,1,7,13,2,2017-11-20,1,2XL,
15564,5 ( 47-49 ),weiss,PUMA,10.09,1,7,13,1,2017-11-20,1,2XL,
15750,5 ( 47-49 ),rot,PUMA,10.09,1,7,13,2,2017-10-01,1,2XL,
17315,5 ( 47-49 ),lila,PUMA,10.09,1,7,13,1,2017-10-01,1,2XL,
17658,5 ( 47-49 ),blau,PUMA,10.09,1,7,13,1,2017-10-01,1,2XL,
19975,5 ( 47-49 ),rot,PUMA,10.09,1,7,13,1,2017-11-20,1,2XL,
21378,5 ( 47-49 ),blau,PUMA,10.09,1,7,13,2,2017-10-01,1,2XL,
15282,6 ( 47-50 ),schwarz,Jako,10.09,1,7,13,2,2017-10-01,1,2XL,
16301,6 ( 47-50 ),orange,Jako,10.09,1,7,13,1,2017-10-01,1,2XL,
17087,6 ( 47-50 ),blau,Jako,10.09,1,7,13,1,2017-10-01,1,2XL,
13880,47 - 50,weiss,adidas,11.36,9,10,11,3,2017-10-01,1,2XL,
17195,47 - 50,schwarz,adidas,11.36,9,10,11,3,2017-10-01,1,2XL,
20266,47 - 50,schwarz,adidas,11.36,9,10,11,1,2017-10-01,1,2XL,
11371,5 ( 47-49 ),blau,PUMA,12.63,1,7,11,1,2017-10-01,1,2XL,
13347,5 ( 47-49 ),schwarz,PUMA,12.63,1,7,11,1,2017-10-01,1,2XL,
14308,2XL,rot,Jako,13.9,1,7,25,1,2017-10-01,1,2XL,
14067,47 - 50,weiss,adidas,15.17,9,10,11,1,2017-10-01,1,2XL,
18308,47 - 50,schwarz,adidas,15.17,9,10,11,8,2017-10-01,1,2XL,
12403,5 ( 47-49 ),gelb,PUMA,16.44,1,7,13,1,2017-10-01,1,2XL,
15289,9,schwarz,Jako,18.98,1,7,8,3,2017-10-01,1,2XL,
11757,2XL,weiss,adidas,18.98,1,7,8,3,2017-10-01,1,2XL,
12031,2XL,schwarz,adidas,18.98,1,7,8,1,2017-10-01,1,2XL,
15143,2XL,rot,adidas,18.98,1,7,8,1,2017-10-01,1,2XL,
10936,2XL,schwarz,Hummel,18.98,1,7,8,2,2017-10-01,1,2XL,
11207,2XL,gruen,PUMA,18.98,1,7,8,1,2017-10-01,1,2XL,
12585,2XL,weiss,adidas,18.98,1,7,21,2,2017-10-01,1,2XL,
12786,2XL,blau,adidas,18.98,1,7,21,2,2017-10-01,1,2XL,
16556,2XL,gelb,adidas,18.98,1,7,21,1,2017-10-01,1,2XL,
22823,2XL,gelb,adidas,18.98,1,7,21,1,2017-10-01,1,2XL,
20059,2XL,rot,Uhlsport,20.25,1,7,8,1,2017-10-01,1,2XL,
10900,9,blau,Jako,21.52,1,7,8,1,2017-10-01,1,2XL,
18917,2XL,schwarz,Nike,21.52,1,7,25,2,2017-11-22,1,2XL,
10396,2XL,blau,adidas,22.79,1,7,8,6,2017-10-01,1,2XL,
10402,2XL,weiss,adidas,22.79,1,7,8,2,2017-10-01,1,2XL,
11914,2XL,gruen,adidas,22.79,1,7,8,1,2017-10-01,1,2XL,
16213,2XL,blau,adidas,22.79,1,7,8,2,2017-10-01,1,2XL,
19004,2XL,rot,adidas,22.79,1,7,8,6,2017-10-01,1,2XL,
22842,2XL,schwarz,adidas,22.79,1,7,8,14,2017-10-01,1,2XL,
10447,2XL,schwarz,Nike,22.79,1,7,8,15,2017-10-01,1,2XL,
10772,2XL,weiss,Nike,22.79,1,7,8,4,2017-10-01,1,2XL,
10886,2XL,blau,Nike,22.79,1,7,8,1,2017-10-01,1,2XL,
14603,2XL,weiss,Nike,22.79,1,7,8,3,2017-10-01,1,2XL,
16302,2XL,rot,Nike,22.79,1,7,8,1,2017-10-01,1,2XL,
18982,2XL,blau,Nike,22.79,1,7,8,2,2017-10-01,1,2XL,
19678,2XL,rot,Nike,22.79,1,7,8,5,2017-10-01,1,2XL,
19853,2XL,gruen,Nike,22.79,1,7,8,4,2017-10-01,1,2XL,
21111,2XL,blau,Nike,22.79,1,7,8,2,2017-10-01,1,2XL,
12264,2XL,schwarz,PUMA,22.79,1,7,8,1,2017-10-01,1,2XL,
10378,2XL,rot,adidas,22.79,1,7,21,5,2017-10-01,1,2XL,
10743,2XL,gelb,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
12004,2XL,weiss,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
14885,2XL,gelb,adidas,22.79,1,7,21,4,2017-10-01,1,2XL,
16418,2XL,gruen,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
16923,2XL,weiss,adidas,22.79,1,7,21,4,2017-10-01,1,2XL,
16992,2XL,orange,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
17276,2XL,grau,adidas,22.79,1,7,21,2,2017-10-01,1,2XL,
18301,2XL,blau,adidas,22.79,1,7,21,4,2017-10-01,1,2XL,
21337,2XL,schwarz,adidas,22.79,1,7,21,6,2017-10-01,1,2XL,
21541,2XL,blau,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
22681,2XL,rot,adidas,22.79,1,7,21,1,2017-10-01,1,2XL,
13104,2XL,blau,PUMA,22.79,1,7,21,1,2017-10-01,1,2XL,
14504,2XL,rot,PUMA,22.79,1,7,21,1,2017-10-01,1,2XL,
17494,2XL,schwarz,adidas,25.33,1,7,8,2,2017-10-01,1,2XL,
19936,2XL,rot,adidas,25.33,1,7,8,4,2017-10-01,1,2XL,
20497,2XL,weiss,adidas,25.33,1,7,8,1,2017-10-01,1,2XL,
20980,2XL,schwarz,adidas,25.33,1,7,8,1,2017-10-01,1,2XL,
22420,2XL,schwarz,adidas,25.33,1,7,8,6,2017-10-01,1,2XL,
11148,2XL,gruen,Nike,25.33,1,7,8,1,2017-10-01,1,2XL,
11173,2XL,weiss,Nike,25.33,1,7,8,1,2017-10-01,1,2XL,
12974,2XL,blau,Nike,25.33,1,7,8,2,2017-10-01,1,2XL,
14315,2XL,rot,Nike,25.33,1,7,8,2,2017-10-01,1,2XL,
15614,2XL,schwarz,Nike,25.33,1,7,8,3,2017-10-01,1,2XL,
15974,2XL,schwarz,Nike,25.33,1,7,8,16,2017-10-01,1,2XL,
18856,2XL,blau,Nike,25.33,1,7,8,1,2017-10-01,1,2XL,
19265,2XL,rot,Nike,25.33,1,7,8,1,2017-10-01,1,2XL,
21387,2XL,gelb,Nike,25.33,1,7,8,1,2017-10-01,1,2XL,
19168,2XL,schwarz,PUMA,25.33,1,7,8,2,2017-10-01,1,2XL,
14855,3 ( 164 ),schwarz,Erima,25.33,1,7,16,2,2017-10-01,1,2XL,
21776,2XL,gruen,adidas,25.33,1,7,21,1,2017-10-01,1,2XL,
22051,2XL,tuerkis,Hummel,25.33,1,7,21,1,2017-10-01,1,2XL,
